station address,geographic coordinates
Via Dario Morelli, POINT(45.514065 10.230360)
Via Sorelle Ambrosetti, POINT(45.527567 10.199074)
Via Chiusure, POINT(45.548307 10.184175)
Via Branze, POINT(45.564027 10.231231)
Via Arnaldo Foresti, POINT(45.5587038 10.2000278)   
Via Dalmazia, POINT(45.5339801 10.2012214)   
Via Giuseppe Saleri, POINT(45.5215086 10.2724459)  
Via Giuseppe Tovini, POINT(45.942508 10.2782408)   
Via IV Novembre, POINT(45.5382111 10.2174357)   
Via Leonzio Foresti, POINT(45.5189417 10.2660766) 
Via Malta, POINT(45.5187794 10.2113877) 
Via Padre Pio, POINT(45.5185717 10.0810184)  
Viale della Stazione, POINT(45.5337757 10.2119649)  
Via Renato Serra, POINT(45.555334 10.2222887)
Via Nicolò Tartaglia, POINT(45.5417608 10.2108965)
Via Ferrini, POINT(45.5654524 10.2258178)
Via Triumplina, POINT(45.5617588 10.2284279)
Via Leonida Bissolati, POINT(45.5193437 10.2365671)
Via Carolina Bevilacqua, POINT(45.5466381 10.1973876)
Via Sostegno, POINT(45.5314466 10.211551)
Via Rocca D'Anfo, POINT(45.5494682 10.218915)
Via Re Rotari, POINT(45.5459402 10.1691653)
Via Prima Quartiere Abba, POINT(45.559201 10.1937448)
Via Milziade Tirandi, POINT(45.566067 10.2210965)
Via Valeriana, POINT(45.8919942 10.1909945)
Viale Francesco Bonatelli, POINT(45.5348242 9.9318274)
Via dell'Agricoltura, POINT(45.5322346 9.9119638)
Via Santissima Trinità, POINT(45.5379189 9.9233914)
Via Maffoni, POINT(45.5346965 9.9252958)
Via Santissima Trinità, POINT(45.5385031 9.9227075)
Via Avis, POINT(45.5400216 9.9384932)
Via Milano, POINT(45.5354242 9.9244435)
Viale Francesco Bonatelli, POINT(45.5348242 9.9318274)
Via dei Fabbri, POINT(45.5336658 9.9119091)
Via Enrico Fermi, POINT(45.5295107 10.1511563)
Via Cascina Fiorita, POINT(45.5330986 10.1515623)
Via Luigi Einaudi, POINT(45.5311424 10.1658376)
Via Martiri della Libertà, POINT(45.526462 10.1579083)
Via Enrico Mattei, POINT(45.5332543 10.1552665)
Piazza 28 Maggio, POINT(45.5910452 10.2381547)
Piazza Gigi Rota, POINT(45.5925881 10.2434696)
Via Vittorio Veneto, POINT(45.5904901 10.2431295)
Via delle Moie, POINT(45.5891626 10.2433238)
Via del Brolo, POINT(45.5895845 10.2332341)
Via Paolo VI, POINT(45.5885964 10.2382529)
Via Vernazze, POINT(45.5924549 10.240309)
Via del Camposanto, POINT(45.5901726 10.2471565)
Via dei Prati, POINT(45.5893705 10.2426991)
Via Vernazze, POINT(45.5924549 10.240309)
Via Angelo Canossi, POINT(45.5870031 10.2395553)
Via Nino Bixio, POINT(46.2587534 10.5146758)
Via Cida, POINT(46.2554646 10.5118283)
Via degli Alpini, POINT(46.2561067 10.5190948)
Corso Trieste, POINT(46.2613299 10.5104438)
Via Nazionale, POINT(46.2550553 10.5126825)
Via degli Artigiani, POINT(45.3266893 10.0636253)
Via Paolo VI, POINT(45.5854981 10.2758388)
Via San Marco, POINT(45.5851332 10.2554592)
Via Maddalena, POINT(45.5683425 10.2727925)
Via Brescia, POINT(45.5844632 10.2522485)
Via Guglielmo Marconi, POINT(45.4697185 10.5323738)
Via Scavi Romani, POINT(45.473397 10.5374388)
Viale Francesco Agello, POINT(45.4603631 10.5828433)
Strada Vicinale San Francesco, POINT(45.4631902 10.5929806)
Via Tommaso dal Molin, POINT(45.46699 10.5459012)
Via Rovato, POINT(45.5744026 10.0123511)
